split	prefix	model	dataset	label	beta	mean_best_val_loss	lower_std	upper_std	seed_count	seed_best_val_losses
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99822	4.9103354168	0.0000000000	0.0000000000	1	4.9103354168
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99900	5.5253422165	0.0000000000	0.0000000000	1	5.5253422165
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.00000	10.4963221497	0.0000000000	0.0000000000	1	10.4963221497
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.43766	3.5693718401	0.0000000000	0.0000000000	1	3.5693718401
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.68377	3.4745064898	0.0000000000	0.0000000000	1	3.4745064898
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.82217	3.4291627448	0.0024081075	0.0012055387	3	3.4303069822;3.4304266149;3.4267546373
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.90000	3.4079262707	0.0015074383	0.0008492865	3	3.4082885884;3.4090713914;3.4064188325
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.94377	3.4010721141	0.0011179386	0.0018125237	3	3.3995112713;3.4028846378;3.4008204332
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.96838	3.4043777456	0.0008020801	0.0015315671	3	3.4059093127;3.4033734081;3.4038505162
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.98222	3.4526013231	0.0030152941	0.0059311711	3	3.4490904846;3.4585324942;3.4501809905
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99000	3.6052426799	0.0000000000	0.0000000000	1	3.6052426799
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99438	3.8119430323	0.0000000000	0.0000000000	1	3.8119430323
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99684	4.1133200956	0.0000000000	0.0000000000	1	4.1133200956
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99822	4.7433877001	0.0000000000	0.0000000000	1	4.7433877001
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99900	5.6390298375	0.0000000000	0.0000000000	1	5.6390298375
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.00000	10.4910305255	0.0000000000	0.0000000000	1	10.4910305255
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.43766	3.4939763941	0.0000000000	0.0000000000	1	3.4939763941
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.68377	3.3998943306	0.0000000000	0.0000000000	1	3.3998943306
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.82217	3.3590734626	0.0002467260	0.0001489627	3	3.3591133305;3.3588267366;3.3592803208
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.90000	3.3386819729	0.0030834329	0.0015910165	3	3.3355985400;3.3398306959;3.3406166828
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.94377	3.3287452380	0.0014856318	0.0029370047	3	3.3316822428;3.3275016859;3.3270517855
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.96838	3.3300773813	0.0017076197	0.0024413398	3	3.3325187211;3.3276625883;3.3300508345
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.98222	3.3643931214	0.0029233600	0.0056445229	3	3.3700376442;3.3608087088;3.3623330111
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.99000	3.4790852526	0.0000000000	0.0000000000	1	3.4790852526
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.99438	3.6434211706	0.0000000000	0.0000000000	1	3.6434211706
